subject;age;trial_number;condition;order;image_object_id;image_landscape_id;encoding_phase;rating;recall_phase;phase;score;rt
sub-07;28;20;Rest;R-D;Dauphin;Urb02;E1;0.0;R1;initial;1.0;3.905855199999678
sub-07;28;21;Rest;R-D;Stylo;Des02;E1;1.0;R1;initial;1.0;3.197744299999613
sub-07;28;22;Rest;R-D;Pomme;Urb11;E1;1.0;R1;initial;1.0;2.924520599999596
sub-07;28;23;Rest;R-D;Tortue;Des05;E1;1.0;R1;initial;1.0;2.897005700000591
sub-07;28;24;Rest;R-D;Table;Des03;E1;0.0;R1;initial;1.0;4.739305199999762
sub-07;28;25;Rest;R-D;Bougie;Mon01;E1;1.0;R1;initial;1.0;4.232341599999927
sub-07;28;26;Distraction;R-D;Pain;Mon03;E2;1.0;R2;initial;0.0;15.014488900000288
sub-07;28;27;Distraction;R-D;Prise;Nei01;E2;0.0;R2;initial;1.0;2.1015933999997287
sub-07;28;28;Distraction;R-D;Lunettes;Mon06;E2;1.0;R2;initial;1.0;7.037004999999226
sub-07;28;29;Distraction;R-D;Casquette;For04;E2;2.0;R2;initial;1.0;6.333527499999946
sub-07;28;30;Distraction;R-D;Girafe;Urb09;E2;0.0;R2;initial;1.0;3.0842462000000523
sub-07;28;31;Distraction;R-D;Sac;For06;E2;2.0;R2;initial;1.0;2.7616104999997333
sub-07;28;32;Distraction;R-D;Pinceau;Esp02;E2;0.0;R2;initial;1.0;2.73429170000054
sub-07;28;33;Distraction;R-D;Montre;Urb04;E2;3.0;R2;initial;1.0;2.4642119999998613
sub-07;28;34;Distraction;R-D;Voiture;For03;E2;0.0;R2;initial;1.0;2.271132500000021
sub-07;28;35;Distraction;R-D;Papillon;Mon11;E2;3.0;R2;initial;0.0;13.227004600000328
sub-07;28;36;Distraction;R-D;Chien;Eau05;E2;1.0;R2;initial;1.0;2.984829799999716
sub-07;28;37;Distraction;R-D;Chapeau;Cam02;E2;1.0;R2;initial;1.0;3.1043342000002667
sub-07;28;38;Distraction;R-D;Elephant;Mon12;E2;0.0;R2;initial;1.0;5.194666999999754
sub-07;28;39;Distraction;R-D;Seau;Urb07;E2;0.0;R2;initial;1.0;5.410231500000009
sub-07;28;40;Distraction;R-D;Rhinoceros;Nei03;E2;0.0;R2;initial;0.0;15.006234599999516
sub-07;28;41;Distraction;R-D;Canard;Mon07;E2;0.0;R2;initial;1.0;2.783589500000744
sub-07;28;42;Distraction;R-D;Velo;mars-03;E2;1.0;R2;initial;1.0;1.682403400000112
sub-07;28;43;Distraction;R-D;Crayon;mars-02;E2;1.0;R2;initial;1.0;2.144187500000044
sub-07;28;44;Distraction;R-D;Trompette;Eau02;E2;0.0;R2;initial;1.0;4.052253399999245
sub-07;28;45;Distraction;R-D;Chat;Des01;E2;0.0;R2;initial;1.0;1.7075960000001942
sub-07;28;46;Distraction;R-D;Clef;Nei02;E2;0.0;R2;initial;1.0;1.9436635000001845
sub-07;28;47;Distraction;R-D;Cheval;Urb01;E2;1.0;R2;initial;1.0;2.92108989999997
sub-07;28;48;Distraction;R-D;Lion;Mon14;E2;0.0;R2;initial;0.0;5.849118199999793
sub-07;28;49;Distraction;R-D;Piano;Urb03;E2;1.0;R2;initial;1.0;1.8764985999996495
sub-07;28;50;Distraction;R-D;Marteau;Eau06;E2;0.0;R2;initial;1.0;2.610776800000167
sub-07;28;10bis;Rest;R-D;Fourchette;Mon05;E1;1.0;RF;final;0.0;5.119667900000422
sub-07;28;11bis;Rest;R-D;Cerise;Mon02;E1;2.0;RF;final;0.0;1.6844848000000638
sub-07;28;12bis;Rest;R-D;Broccoli;Urb06;E1;1.0;RF;final;1.0;3.490409500000169
sub-07;28;13bis;Rest;R-D;Violon;Esp03;E1;1.0;RF;final;1.0;2.073582600000009
sub-07;28;14bis;Rest;R-D;Ampoule;Urb10;E1;2.0;RF;final;1.0;2.214997900000526
sub-07;28;15bis;Rest;R-D;Tracteur;Cam03;E1;3.0;RF;final;1.0;2.2833982000001924
sub-07;28;16bis;Rest;R-D;Ciseaux;Mon10;E1;0.0;RF;final;0.0;2.10440220000055
sub-07;28;17bis;Rest;R-D;Bonnet;mars-04;E1;1.0;RF;final;1.0;2.09779189999972
sub-07;28;18bis;Rest;R-D;Moto;Mon13;E1;0.0;RF;final;1.0;1.610034999999698
sub-07;28;19bis;Rest;R-D;Tournevis;Mon04;E1;0.0;RF;final;0.0;4.392336199999591
sub-07;28;1bis;Rest;R-D;Fromage;Urb08;E1;0.0;RF;final;0.0;3.021378999999797
sub-07;28;20bis;Rest;R-D;Dauphin;Urb02;E1;0.0;RF;final;1.0;2.5295732000004136
sub-07;28;21bis;Rest;R-D;Stylo;Des02;E1;1.0;RF;final;1.0;2.5954390999995667
sub-07;28;22bis;Rest;R-D;Pomme;Urb11;E1;1.0;RF;final;1.0;1.6545944999998028
sub-07;28;23bis;Rest;R-D;Tortue;Des05;E1;1.0;RF;final;1.0;2.3549063000000388
sub-07;28;24bis;Rest;R-D;Table;Des03;E1;0.0;RF;final;1.0;1.5874658000002455
sub-07;28;25bis;Rest;R-D;Bougie;Mon01;E1;1.0;RF;final;0.0;12.862136000000646
sub-07;28;26bis;Distraction;R-D;Pain;Mon03;E2;1.0;RF;final;0.0;2.6602068000001964
sub-07;28;27bis;Distraction;R-D;Prise;Nei01;E2;0.0;RF;final;1.0;2.20134009999947
sub-07;28;28bis;Distraction;R-D;Lunettes;Mon06;E2;1.0;RF;final;1.0;2.082322500000373
sub-07;28;29bis;Distraction;R-D;Casquette;For04;E2;2.0;RF;final;1.0;2.4083042000002024
sub-07;28;2bis;Rest;R-D;Citron;Eau03;E1;0.0;RF;final;0.0;1.6731447000001936
sub-07;28;30bis;Distraction;R-D;Girafe;Urb09;E2;0.0;RF;final;1.0;2.478708100000404
sub-07;28;31bis;Distraction;R-D;Sac;For06;E2;2.0;RF;final;1.0;1.74445040000046
sub-07;28;32bis;Distraction;R-D;Pinceau;Esp02;E2;0.0;RF;final;1.0;2.0558075000008103
sub-07;28;33bis;Distraction;R-D;Montre;Urb04;E2;3.0;RF;final;1.0;2.2315749999997934
sub-07;28;34bis;Distraction;R-D;Voiture;For03;E2;0.0;RF;final;1.0;1.9054728000000976
sub-07;28;35bis;Distraction;R-D;Papillon;Mon11;E2;3.0;RF;final;0.0;15.01422459999958
sub-07;28;36bis;Distraction;R-D;Chien;Eau05;E2;1.0;RF;final;1.0;2.276091599999745
sub-07;28;37bis;Distraction;R-D;Chapeau;Cam02;E2;1.0;RF;final;1.0;2.290069300000141
sub-07;28;38bis;Distraction;R-D;Elephant;Mon12;E2;0.0;RF;final;1.0;5.370928300000742
sub-07;28;39bis;Distraction;R-D;Seau;Urb07;E2;0.0;RF;final;1.0;1.4739880000006451
sub-07;28;3bis;Rest;R-D;Poire;Esp05;E1;0.0;RF;final;0.0;15.0058824000007
sub-07;28;40bis;Distraction;R-D;Rhinoceros;Nei03;E2;0.0;RF;final;0.0;3.501487100000304
sub-07;28;41bis;Distraction;R-D;Canard;Mon07;E2;0.0;RF;final;1.0;2.2868703000003734
sub-07;28;42bis;Distraction;R-D;Velo;mars-03;E2;1.0;RF;final;1.0;1.173310500000298
sub-07;28;43bis;Distraction;R-D;Crayon;mars-02;E2;1.0;RF;final;1.0;2.0072681999999986
sub-07;28;44bis;Distraction;R-D;Trompette;Eau02;E2;0.0;RF;final;1.0;2.6688654999998107
sub-07;28;45bis;Distraction;R-D;Chat;Des01;E2;0.0;RF;final;1.0;1.9443083000005568
sub-07;28;46bis;Distraction;R-D;Clef;Nei02;E2;0.0;RF;final;1.0;1.692417899999782
sub-07;28;47bis;Distraction;R-D;Cheval;Urb01;E2;1.0;RF;final;1.0;2.583724500000244
sub-07;28;48bis;Distraction;R-D;Lion;Mon14;E2;0.0;RF;final;1.0;6.720572199999879
sub-07;28;49bis;Distraction;R-D;Piano;Urb03;E2;1.0;RF;final;1.0;2.056169100000261
sub-07;28;4bis;Rest;R-D;Balai;Des04;E1;0.0;RF;final;0.0;1.2798237999995763
sub-07;28;50bis;Distraction;R-D;Marteau;Eau06;E2;0.0;RF;final;1.0;2.2238851000001887
sub-07;28;5bis;Rest;R-D;Carotte;Eau04;E1;0.0;RF;final;1.0;1.448609299999589
sub-07;28;6bis;Rest;R-D;Fraise;Mon09;E1;0.0;RF;final;0.0;4.012374899999486
sub-07;28;7bis;Rest;R-D;Guitare;For05;E1;1.0;RF;final;1.0;3.2352946000000884
sub-07;28;8bis;Rest;R-D;Cactus;mars-01;E1;0.0;RF;final;1.0;1.9384330000002592
sub-07;28;9bis;Rest;R-D;Tasse;For01;E1;1.0;RF;final;1.0;4.54042760000084
sub-10;24;1;Distraction;D-R;Piano;mars-02;E1;0.0;R1;initial;0.0;1.3657842000002347
sub-10;24;2;Distraction;D-R;Chapeau;Des04;E1;2.0;R1;initial;1.0;5.158100499999819
sub-10;24;3;Distraction;D-R;Girafe;mars-04;E1;0.0;R1;initial;1.0;9.296703699999853
sub-10;24;4;Distraction;D-R;Guitare;Mon12;E1;2.0;R1;initial;0.0;7.415669799999705
sub-10;24;5;Distraction;D-R;Chien;mars-01;E1;0.0;R1;initial;1.0;2.420544899999186
sub-10;24;6;Distraction;D-R;Fraise;Urb11;E1;1.0;R1;initial;1.0;2.618514800000412
sub-10;24;7;Distraction;D-R;Dauphin;Mon09;E1;0.0;R1;initial;0.0;1.201764400000684
sub-10;24;8;Distraction;D-R;Violon;Urb08;E1;1.0;R1;initial;1.0;3.3473973999998634
sub-10;24;9;Distraction;D-R;Sac;Mon01;E1;3.0;R1;initial;1.0;1.8766645000005155
sub-10;24;10;Distraction;D-R;Balai;Des02;E1;0.0;R1;initial;0.0;4.622004400000151
sub-10;24;11;Distraction;D-R;Ampoule;Urb03;E1;3.0;R1;initial;1.0;2.946006500000294
sub-10;24;12;Distraction;D-R;Papillon;Mon02;E1;3.0;R1;initial;0.0;4.339402300000074
sub-10;24;13;Distraction;D-R;Poire;For06;E1;2.0;R1;initial;1.0;2.6126751000001605
sub-10;24;14;Distraction;D-R;Fourchette;Cam02;E1;1.0;R1;initial;0.0;15.006127700000434
sub-10;24;15;Distraction;D-R;Clef;For05;E1;1.0;R1;initial;1.0;2.320523000000321
sub-10;24;16;Distraction;D-R;Cerise;Mon04;E1;0.0;R1;initial;0.0;6.964237000000139
sub-10;24;17;Distraction;D-R;Chat;Eau03;E1;1.0;R1;initial;1.0;1.9427911000002496
sub-10;24;18;Distraction;D-R;Moto;Esp05;E1;0.0;R1;initial;1.0;2.1730477999999493
sub-10;24;19;Distraction;D-R;Cactus;Nei01;E1;0.0;R1;initial;0.0;15.016505599999618
sub-10;24;20;Distraction;D-R;Voiture;Eau05;E1;0.0;R1;initial;0.0;15.012408099999448
sub-10;24;21;Distraction;D-R;Pomme;Mon13;E1;0.0;R1;initial;1.0;10.276340299999902
sub-10;24;22;Distraction;D-R;Casquette;Mon03;E1;1.0;R1;initial;0.0;4.418704100000468
sub-10;24;23;Distraction;D-R;Stylo;Mon10;E1;0.0;R1;initial;0.0;8.368370099999993
sub-10;24;24;Distraction;D-R;Seau;Esp02;E1;0.0;R1;initial;1.0;2.3776756999996
sub-10;24;25;Distraction;D-R;Lion;Des03;E1;0.0;R1;initial;1.0;1.7214924999998402
sub-10;24;26;Rest;D-R;Lunettes;Urb06;E2;3.0;R2;initial;1.0;3.20920870000009
sub-10;24;27;Rest;D-R;Cheval;Esp03;E2;0.0;R2;initial;0.0;8.672081499999877
sub-10;24;28;Rest;D-R;Pain;Nei03;E2;0.0;R2;initial;0.0;15.001407499999914
sub-10;24;29;Rest;D-R;Fromage;Des01;E2;0.0;R2;initial;0.0;6.604864300000372
sub-10;24;30;Rest;D-R;Elephant;Nei02;E2;0.0;R2;initial;0.0;2.876357199999802
sub-10;24;31;Rest;D-R;Montre;Urb01;E2;3.0;R2;initial;0.0;15.012906800000565
sub-10;24;32;Rest;D-R;Tournevis;Urb04;E2;3.0;R2;initial;1.0;3.7919102000005296
sub-10;24;33;Rest;D-R;Rhinoceros;For03;E2;0.0;R2;initial;1.0;3.750711299999239
sub-10;24;34;Rest;D-R;Velo;mars-03;E2;0.0;R2;initial;1.0;2.263414500000181
sub-10;24;35;Rest;D-R;Broccoli;Mon05;E2;0.0;R2;initial;1.0;5.139243300000089
sub-10;24;36;Rest;D-R;Trompette;Mon11;E2;0.0;R2;initial;0.0;1.9804012999993572
sub-10;24;37;Rest;D-R;Crayon;Mon07;E2;0.0;R2;initial;0.0;15.010284099999808
sub-10;24;38;Rest;D-R;Prise;Urb10;E2;3.0;R2;initial;0.0;11.414642799999456
sub-10;24;39;Rest;D-R;Bonnet;For04;E2;;R2;initial;0.0;0.7021546999994825
sub-10;24;40;Rest;D-R;Tracteur;Eau06;E2;0.0;R2;initial;0.0;13.996621199999936
sub-10;24;41;Rest;D-R;Tasse;Urb07;E2;2.0;R2;initial;1.0;1.810895300000084
sub-10;24;42;Rest;D-R;Ciseaux;Cam03;E2;1.0;R2;initial;1.0;2.7403213999996296
sub-10;24;43;Rest;D-R;Carotte;For01;E2;0.0;R2;initial;1.0;2.547689299999547
sub-10;24;44;Rest;D-R;Citron;Eau02;E2;0.0;R2;initial;0.0;0.8617425000002186
sub-10;24;45;Rest;D-R;Table;Urb09;E2;3.0;R2;initial;1.0;2.1378702000001795
sub-10;24;46;Rest;D-R;Bougie;Mon06;E2;0.0;R2;initial;0.0;6.990412699999979
sub-10;24;47;Rest;D-R;Tortue;Eau04;E2;1.0;R2;initial;1.0;3.515508399999817
sub-10;24;48;Rest;D-R;Canard;Des05;E2;2.0;R2;initial;1.0;3.1278424000001905
sub-10;24;49;Rest;D-R;Marteau;Urb02;E2;3.0;R2;initial;0.0;3.402205000000322
sub-10;24;50;Rest;D-R;Pinceau;Mon14;E2;0.0;R2;initial;0.0;2.201113299999633
sub-10;24;10bis;Distraction;D-R;Balai;Des02;E1;0.0;RF;final;0.0;2.612494199998764
sub-10;24;11bis;Distraction;D-R;Ampoule;Urb03;E1;3.0;RF;final;1.0;4.328572699998404
sub-10;24;12bis;Distraction;D-R;Papillon;Mon02;E1;3.0;RF;final;0.0;5.083615200001077
sub-10;24;13bis;Distraction;D-R;Poire;For06;E1;2.0;RF;final;1.0;2.7205025000002934
sub-10;24;14bis;Distraction;D-R;Fourchette;Cam02;E1;1.0;RF;final;0.0;2.925464500000089
sub-10;24;15bis;Distraction;D-R;Clef;For05;E1;1.0;RF;final;1.0;1.6228153000010934
sub-10;24;16bis;Distraction;D-R;Cerise;Mon04;E1;0.0;RF;final;0.0;0.8835206999992806
sub-10;24;17bis;Distraction;D-R;Chat;Eau03;E1;1.0;RF;final;1.0;1.7654980999996042
sub-10;24;18bis;Distraction;D-R;Moto;Esp05;E1;0.0;RF;final;0.0;3.904778699999952
sub-10;24;19bis;Distraction;D-R;Cactus;Nei01;E1;0.0;RF;final;0.0;1.708567600000606
